id,level,state_code,county_code,county_sub,place_code,city_code,area_name
1,010,00,000,00000,00000,00000,United States
2,040,01,000,00000,00000,00000,Alabama
3,050,01,001,00000,00000,00000,Autauga County
4,050,01,003,00000,00000,00000,Baldwin County
5,050,01,005,00000,00000,00000,Barbour County
6,050,01,007,00000,00000,00000,Bibb County
7,050,01,009,00000,00000,00000,Blount County
8,050,01,011,00000,00000,00000,Bullock County
9,050,01,013,00000,00000,00000,Butler County
10,050,01,015,00000,00000,00000,Calhoun County
11,050,01,017,00000,00000,00000,Chambers County
12,050,01,019,00000,00000,00000,Cherokee County
13,050,01,021,00000,00000,00000,Chilton County
14,050,01,023,00000,00000,00000,Choctaw County
15,050,01,025,00000,00000,00000,Clarke County
16,050,01,027,00000,00000,00000,Clay County
17,050,01,029,00000,00000,00000,Cleburne County
18,050,01,031,00000,00000,00000,Coffee County
19,050,01,033,00000,00000,00000,Colbert County
20,050,01,035,00000,00000,00000,Conecuh County
21,050,01,037,00000,00000,00000,Coosa County
22,050,01,039,00000,00000,00000,Covington County
23,050,01,041,00000,00000,00000,Crenshaw County
24,050,01,043,00000,00000,00000,Cullman County
25,050,01,045,00000,00000,00000,Dale County
26,050,01,047,00000,00000,00000,Dallas County
27,050,01,049,00000,00000,00000,DeKalb County
28,050,01,051,00000,00000,00000,Elmore County
29,050,01,053,00000,00000,00000,Escambia County
30,050,01,055,00000,00000,00000,Etowah County
31,050,01,057,00000,00000,00000,Fayette County
32,050,01,059,00000,00000,00000,Franklin County
33,050,01,061,00000,00000,00000,Geneva County
34,050,01,063,00000,00000,00000,Greene County
35,050,01,065,00000,00000,00000,Hale County
36,050,01,067,00000,00000,00000,Henry County
37,050,01,069,00000,00000,00000,Houston County
38,050,01,071,00000,00000,00000,Jackson County
39,050,01,073,00000,00000,00000,Jefferson County
40,050,01,075,00000,00000,00000,Lamar County
41,050,01,077,00000,00000,00000,Lauderdale County
42,050,01,079,00000,00000,00000,Lawrence County
43,050,01,081,00000,00000,00000,Lee County
44,050,01,083,00000,00000,00000,Limestone County
45,050,01,085,00000,00000,00000,Lowndes County
46,050,01,087,00000,00000,00000,Macon County
47,050,01,089,00000,00000,00000,Madison County
48,050,01,091,00000,00000,00000,Marengo County
49,050,01,093,00000,00000,00000,Marion County
50,050,01,095,00000,00000,00000,Marshall County
51,050,01,097,00000,00000,00000,Mobile County
52,050,01,099,00000,00000,00000,Monroe County
53,050,01,101,00000,00000,00000,Montgomery County
54,050,01,103,00000,00000,00000,Morgan County
55,050,01,105,00000,00000,00000,Perry County
56,050,01,107,00000,00000,00000,Pickens County
